Length: 2.16 seconds | Samples: 47665 | Sent: 31128

Num Buffs: 8 | Buff Total Size: 44100  |Rec Start: 6 / 8
Length: 1.44 seconds | Samples: 31776 | Sent: 20751

Num Buffs: 8 | Buff Total Size: 44100  |Rec Start: 7 / 8
Length: 0.72 seconds | Samples: 15887 | Sent: 10375

Num Buffs: 8 | Buff Total Size: 66150  |Rec Start: 3 / 8
Length: 5.4 seconds | Samples: 119165 | Sent: 77822

Num Buffs: 8 | Buff Total Size: 66150  |Rec Start: 4 / 8
Length: 4.32 seconds | Samples: 95331 | Sent: 62256

Num Buffs: 8 | Buff Total Size: 66150  |Rec Start: 5 / 8
Length: 3.24 seconds | Samples: 71499 | Sent: 46693

Num Buffs: 8 | Buff Total Size: 66150  |Rec Start: 6 / 8
Length: 2.16 seconds | Samples: 47665 | Sent: 31128

Num Buffs: 8 | Buff Total Size: 66150  |Rec Start: 7 / 8
Length: 1.08 seconds | Samples: 23831 | Sent: 15563

Num Buffs: 8 | Buff Total Size: 88200  |Rec Start: 3 / 8
Length: 7.21 seconds | Samples: 158887 | Sent: 103762

Num Buffs: 8 | Buff Total Size: 88200  |Rec Start: 4 / 8
Length: 5.76 seconds | Samples: 127109 | Sent: 83009

Num Buffs: 8 | Buff Total Size: 88200  |Rec Start: 5 / 8
Length: 4.32 seconds | Samples: 95331 | Sent: 62256

Num Buffs: 8 | Buff Total Size: 88200  |Rec Start: 6 / 8
Length: 2.88 seconds | Samples: 63554 | Sent: 41504

Num Buffs: 8 | Buff Total Size: 88200  |Rec Start: 7 / 8
Length: 1.44 seconds | Samples: 31776 | Sent: 20751

Num Buffs: 9 | Buff Total Size: 22050  |Rec Start: 3 / 9
Length: 1.92 seconds | Samples: 42368 | Sent: 27668

Num Buffs: 9 | Buff Total Size: 22050  |Rec Start: 4 / 9
Length: 1.6 seconds | Samples: 35306 | Sent: 23056

Num Buffs: 9 | Buff Total Size: 22050  |Rec Start: 5 / 9
Length: 1.28 seconds | Samples: 28245 | Sent: 18445

Num Buffs: 9 | Buff Total Size: 22050  |Rec Start: 6 / 9
Length: 0.96 seconds | Samples: 21183 | Sent: 13833

Num Buffs: 9 | Buff Total Size: 22050  |Rec Start: 7 / 9
Length: 0.64 seconds | Samples: 14121 | Sent: 9221

Num Buffs: 9 | Buff Total Size: 22050  |Rec Start: 8 / 9
Length: 0.32 seconds | Samples: 7059 | Sent: 4609

Num Buffs: 9 | Buff Total Size: 44100  |Rec Start: 3 / 9
Length: 3.84 seconds | Samples: 84739 | Sent: 55339

Num Buffs: 9 | Buff Total Size: 44100  |Rec Start: 4 / 9
Length: 3.2 seconds | Samples: 70615 | Sent: 46115

Num Buffs: 9 | Buff Total Size: 44100  |Rec Start: 5 / 9
Length: 2.56 seconds | Samples: 56492 | Sent: 36892

Num Buffs: 9 | Buff Total Size: 44100  |Rec Start: 6 / 9
Length: 1.92 seconds | Samples: 42368 | Sent: 27668

Num Buffs: 9 | Buff Total Size: 44100  |Rec Start: 7 / 9
